label,area,peri,verts,circularity,solidity
CUBE,8915.0,377.3137083053589,4,0.786911774319901,0.993923853057584
SPHERE,7803.0,337.3380935192108,7,0.8616694560485003,0.9902284263959391
SPHERE,7671.0,335.6812393665314,6,0.8554757571519246,0.9942323893461215
PENTAGON,8803.0,365.0538227558136,5,0.8300930249634919,0.9900466737895743
CUBE,8752.5,373.55634891986847,4,0.7881878563919664,0.9931351412685805
PENTAGON,8869.0,369.6812393665314,6,0.8155107606558756,0.9923356643356643
SPHERE,8534.5,345.722869515419,7,0.8972877294380084,0.995393048752041
CLOVER,9306.0,411.82337474823,4,0.6895264431053828,0.9549022625827305
CLOVER,9405.0,402.3675310611725,4,0.7299999116112592,0.9745609035801254
CUBE,10992.5,418.3847759962082,4,0.7891409709672245,0.9888898884490824
CLOVER,9299.0,423.22034335136414,8,0.6523986314641455,0.9292959576275421
CUBE,10825.5,411.55634891986847,4,0.803154721596177,0.9978798912292022
PENTAGON,9098.5,384.06601536273956,5,0.7751181459071449,0.9799138395261174
CUBE,8704.0,371.3137083053589,4,0.7933170356851277,0.9969646641085849
SPHERE,7570.0,332.5096664428711,7,0.8603936430659995,0.9931776436630806
SPHERE,7473.5,331.4385987520218,6,0.8549244437698367,0.9949410903281635
PENTAGON,8732.0,362.56854152679443,5,0.8347248675642217,0.9954400364797081
CLOVER,9293.5,412.4091612100601,7,0.6866454698227737,0.9559738723448028
SPHERE,8606.0,350.30865597724915,8,0.8812709784591483,0.9927899867335755
CLOVER,9734.5,413.5807341337204,4,0.7151595030336212,0.9603887134964483
CLOVER,9380.0,421.39696860313416,9,0.6637887508380312,0.9682080924855492
CUBE,11075.0,422.6274166107178,4,0.7791808399562619,0.9945222701149425
PENTAGON,9215.5,373.23758828639984,5,0.8313004554205478,0.9906476753560871
PENTAGON,8198.5,355.01219260692596,5,0.8174434672153782,0.9926746579489042
CUBE,10627.5,414.2426406145096,4,0.7782719436096462,0.9930386843580639
CUBE,8929.5,378.3847759962082,4,0.7837358202610524,0.9913405495420483
SPHERE,7774.0,336.5096664428711,7,0.8626990347096251,0.9918346516968615
SPHERE,7636.0,334.85281229019165,6,0.855791329813789,0.9947889525794684
PENTAGON,8788.0,363.39696860313416,5,0.836252274340501,0.9930504548279564
CUBE,10545.0,407.3137083053589,4,0.7987270537862242,0.9983431952662722
CLOVER,9889.5,417.09545290470123,4,0.7143536831671569,0.9693687512252499
SPHERE,8078.0,341.3380935192108,6,0.8712528181652505,0.9947663321224063
CLOVER,9233.0,402.911687374115,6,0.7147151187037458,0.9699038815063816
CUBE,11083.5,419.0710676908493,4,0.7930698369385434,0.9992787269530722
PENTAGON,9299.5,373.23758828639984,5,0.8388778237950609,0.9935363247863248
CLOVER,9463.5,424.634556889534,12,0.6595245737593036,0.9367946941199763
PENTAGON,9584.5,384.7523070573807,6,0.8136110915526709,0.9869227204860217
CUBE,9109.0,379.3137083053589,4,0.7955793270051631,0.9975360017521765
SPHERE,7740.5,337.09545290470123,7,0.8559986708176229,0.9899603529863154
SPHERE,7581.5,333.4385987520218,6,0.8569061483510639,0.995143400931942
PENTAGON,8705.0,361.8822498321533,5,0.8353030672119601,0.9907807876166629
SPHERE,8565.0,349.13708305358887,8,0.8829686273065237,0.9930434782608696
PENTAGON,8632.5,367.09545290470123,6,0.8049862104726171,0.9884919271727929
CUBE,10177.0,400.48528122901917,4,0.7973638088347021,0.9996071112857283
CLOVER,9143.5,454.7523070573807,7,0.55561314405615,0.9510609527771999
CUBE,10950.5,416.72792184352875,4,0.7923893192607001,0.9955905082280208
PENTAGON,9166.5,373.23758828639984,5,0.8268803238687484,0.9901166558651977
CLOVER,10184.5,431.3208485841751,4,0.6879370101707845,0.9529356725146199
CLOVER,9697.0,414.5096664428711,4,0.7092150351906418,0.9732523711547147
CUBE,8859.5,384.04163014888763,4,0.7548531427645135,0.9817708333333334
SPHERE,7699.5,335.92387998104095,7,0.8574141208187841,0.9901620370370371
SPHERE,7587.0,332.85281229019165,6,0.8605487670976723,0.9958653278204371
PENTAGON,8851.5,367.2964633703232,5,0.8245049066166114,0.9883318445734703
PENTAGON,6358.0,581.9066350460052,9,0.23595205779754255,0.7048780487804878
CUBE,10086.5,402.72792184352875,4,0.7814962074546482,0.9926191999212715
PENTAGON,8476.0,360.16652059555054,6,0.8210963684453532,0.9947773018015375
CUBE,10175.5,401.0710676908493,4,0.7949191406226058,0.9998526088238184
CLOVER,9329.0,428.08326029777527,8,0.6397178455241807,0.9673372044794691
CLOVER,9372.5,429.66399443149567,10,0.6379804783640425,0.9293505205751116
SPHERE,8683.0,349.4213538169861,8,0.8936774116685114,0.9925130022289536
SPHERE,9320.5,358.97770273685455,8,0.9088958633813471,0.9933390173718427
CUBE,10940.5,415.2132030725479,4,0.7974523179080871,0.992110632509635
PENTAGON,8949.5,380.1248904466629,6,0.7783161111204011,0.9786757067089508
SPHERE,8040.0,343.62236428260803,7,0.8556636236397718,0.9881398635777054
CLOVER,9113.5,403.23758828639984,10,0.7043249039303047,0.9553936471328232
PENTAGON,8665.5,381.78174459934235,7,0.7470904316848844,0.9534576662815646
PENTAGON,8592.5,363.09545290470123,6,0.8190073219791653,0.9932951852494075
CLOVER,9194.0,414.45079135894775,6,0.6726178941562486,0.9416222859483818
PENTAGON,8601.5,363.92387998104095,6,0.8161367787342352,0.9925571197784445
CUBE,9958.0,396.48528122901917,4,0.7960270883590763,0.9988464817693966
SPHERE,7245.5,325.78174459934235,6,0.8578764292956731,0.995534487496565
SPHERE,8596.5,347.52185904979706,8,0.8944730868040318,0.9943898207056102
PENTAGON,9589.0,379.4802289009094,5,0.8367676368444114,0.9920339333747155
CUBE,11368.5,423.55634891986847,4,0.7963255278160501,0.9956647398843931
SPHERE,8693.5,351.0365778207779,7,0.886542945494715,0.9933158135283364
CLOVER,8389.5,404.7523070573807,4,0.6435277462905333,0.9488774529208844
CUBE,10086.0,400.48528122901917,4,0.7902339958638898,0.9956073244163665
PENTAGON,9468.0,373.53910398483276,6,0.8526994205885564,0.9946945422072806
CLOVER,9063.5,413.722869515419,8,0.6654060521890073,0.9327467325306165
